tourn_Season,tourn_WTeamID,tourn_WTeamName,tourn_WScore,tourn_LTeamID,tourn_LTeamName,tourn_LScore,tourn_WLoc,tourn_NumOT,tourn_WFGM,tourn_WFGA,tourn_WFGM3,tourn_WFGA3,tourn_WFTM,tourn_WFTA,tourn_WOR,tourn_WDR,tourn_WAst,tourn_WTO,tourn_WStl,tourn_WBlk,tourn_WPF,tourn_LFGM,tourn_LFGA,tourn_LFGM3,tourn_LFGA3,tourn_LFTM,tourn_LFTA,tourn_LOR,tourn_LDR,tourn_LAst,tourn_LTO,tourn_LStl,tourn_LBlk,tourn_LPF
2024,1104,Alabama,109,1158,Col Charleston,96,N,0,36,60,13,23,24,37,4,24,17,10,5,2,22,32,78,10,33,22,29,14,23,16,10,8,3,22
2024,1124,Baylor,92,1159,Colgate,67,N,0,33,57,16,30,10,14,10,22,17,12,6,2,15,26,57,5,18,10,14,8,14,11,8,10,3,12
2024,1155,Clemson,77,1307,New Mexico,56,N,0,28,63,7,21,14,19,8,30,16,9,7,4,20,19,64,3,23,15,23,15,24,6,13,4,2,16
2024,1160,Colorado,102,1196,Florida,100,N,0,34,54,6,10,28,33,5,24,27,10,6,1,19,35,68,11,25,19,22,10,17,22,8,8,5,22
2024,1163,Connecticut,91,1391,Stetson,52,N,0,37,70,9,24,8,10,14,28,22,8,6,2,19,17,55,3,20,15,20,8,19,6,14,6,4,12
2024,1181,Duke,64,1436,Vermont,47,N,0,19,45,6,18,20,29,7,29,11,9,9,5,13,20,52,5,20,2,6,5,18,12,11,8,3,19
2024,1213,Grand Canyon,75,1388,St Mary's CA,66,N,0,21,49,5,18,28,36,6,24,10,11,8,9,13,26,67,7,25,7,12,11,24,16,11,7,1,21
2024,1222,Houston,86,1255,Longwood,46,N,0,31,53,11,23,13,22,10,18,16,8,12,5,13,14,41,3,13,15,16,4,10,9,18,4,1,16
2024,1241,James Madison,72,1458,Wisconsin,61,N,0,23,56,5,17,21,30,8,27,12,11,14,4,20,19,51,8,21,15,23,7,26,13,19,6,3,19
2024,1266,Marquette,87,1443,WKU,69,N,0,33,69,13,36,8,15,10,25,23,10,9,11,9,28,69,8,24,5,6,12,30,17,18,5,4,15
2024,1321,Northwestern,77,1194,FL Atlantic,65,N,0,29,69,8,23,11,15,13,26,20,12,12,1,13,22,57,5,27,16,21,6,27,10,21,9,5,17
2024,1345,Purdue,78,1212,Grambling,50,N,0,28,59,9,24,13,22,17,29,23,10,4,5,6,20,55,3,12,7,10,3,17,11,5,8,6,19
2024,1361,San Diego St,69,1412,UAB,65,N,0,24,55,5,18,16,20,13,18,10,12,11,5,20,20,53,7,20,18,24,8,14,10,14,7,2,18
2024,1401,Texas A&M,98,1304,Nebraska,83,N,0,35,71,13,23,15,20,13,23,16,8,3,6,21,27,59,7,22,22,24,5,19,15,10,5,2,17
2024,1429,Utah St,88,1395,TCU,72,N,0,33,60,8,19,14,15,4,22,22,9,10,9,13,24,67,7,22,17,22,18,17,13,13,6,4,13
2024,1463,Yale,78,1120,Auburn,76,N,0,24,52,9,20,21,31,5,15,10,9,10,2,19,27,53,7,20,15,22,9,25,11,14,6,3,25
2024,1112,Arizona,78,1173,Dayton,68,N,0,28,53,8,18,14,20,5,26,17,14,9,6,18,24,59,7,24,13,15,4,19,9,14,8,3,17
2024,1166,Creighton,86,1332,Oregon,73,N,0,29,75,15,39,13,14,13,30,16,9,6,5,12,31,77,7,21,4,5,13,29,13,9,4,4,14
2024,1211,Gonzaga,89,1242,Kansas,68,N,0,35,58,8,15,11,15,8,29,19,9,2,5,12,27,70,9,22,5,9,13,17,20,8,5,2,14
2024,1228,Illinois,89,1182,Duquesne,63,N,0,35,59,7,21,12,17,10,21,17,7,6,1,12,25,61,5,17,8,10,12,13,14,9,4,1,17
2024,1235,Iowa St,67,1450,Washington St,56,N,0,23,57,7,14,14,17,11,19,14,5,5,2,12,22,51,5,23,7,9,9,23,9,12,3,8,16
2024,1301,NC State,79,1324,Oakland,73,N,0,29,64,9,26,12,16,11,33,19,8,4,5,16,25,68,12,35,11,15,9,21,13,6,4,3,13
2024,1314,North Carolina,85,1277,Michigan St,69,N,0,28,60,10,26,19,23,5,24,12,5,5,6,14,26,59,6,16,11,15,6,25,6,11,3,1,20
2024,1397,Tennessee,62,1400,Texas,58,N,0,22,65,3,25,15,18,13,27,11,11,9,3,15,20,55,7,23,11,12,6,23,6,16,5,3,16
2024,1104,Alabama,72,1213,Grand Canyon,61,N,0,24,65,8,31,16,22,15,29,13,12,10,9,26,18,56,2,20,23,37,12,24,5,13,10,8,21
2024,1155,Clemson,72,1124,Baylor,64,N,0,23,47,6,17,20,24,3,26,16,11,4,4,21,21,54,6,24,16,26,8,22,7,10,8,2,16
2024,1163,Connecticut,75,1321,Northwestern,58,N,0,29,54,3,22,14,20,5,27,20,6,6,9,13,22,59,4,15,10,10,7,20,8,8,5,0,17
2024,1181,Duke,93,1241,James Madison,55,N,0,33,63,14,28,13,18,9,24,22,6,12,4,16,19,50,4,18,13,23,11,19,7,14,5,6,17
2024,1222,Houston,100,1401,Texas A&M,95,N,0,34,66,11,34,21,30,11,21,18,10,6,8,28,29,75,8,23,29,45,22,23,12,11,5,4,24
2024,1266,Marquette,81,1160,Colorado,77,N,0,34,55,9,21,4,8,2,21,18,12,10,4,10,31,66,10,30,5,7,10,17,21,12,8,3,11
2024,1345,Purdue,106,1429,Utah St,67,N,0,38,68,11,23,19,23,10,35,29,9,5,5,10,23,64,9,27,12,16,5,17,9,8,5,4,20
2024,1361,San Diego St,85,1463,Yale,57,N,0,29,55,13,27,14,17,6,31,16,12,8,3,15,20,54,7,19,10,14,5,17,13,12,8,0,14
2024,1104,Alabama,89,1314,North Carolina,87,N,0,32,67,11,26,14,20,14,23,13,10,4,7,18,30,78,12,32,15,17,17,21,17,7,8,3,18
2024,1155,Clemson,77,1112,Arizona,72,N,0,29,59,8,25,11,16,6,27,17,10,4,2,19,25,67,5,28,17,25,16,25,14,9,8,4,16
2024,1163,Connecticut,82,1361,San Diego St,52,N,0,30,65,10,26,12,16,20,27,17,9,10,1,14,21,58,5,22,5,10,10,17,9,12,8,4,16
2024,1228,Illinois,72,1235,Iowa St,69,N,0,24,57,9,29,15,29,12,25,16,11,8,2,18,23,58,6,13,17,21,5,27,9,9,11,3,23
2024,1181,Duke,54,1222,Houston,51,N,0,20,49,6,17,8,12,13,21,14,14,4,0,14,20,49,2,8,9,17,11,19,10,10,4,4,12
2024,1301,NC State,67,1266,Marquette,58,N,0,26,56,9,23,6,12,6,31,14,12,6,3,16,20,60,4,31,14,23,9,24,8,9,7,6,15
2024,1345,Purdue,80,1211,Gonzaga,68,N,0,32,56,9,20,7,10,8,21,24,8,3,0,11,29,59,6,19,4,7,9,15,14,6,5,0,15
2024,1397,Tennessee,82,1166,Creighton,75,N,0,28,67,11,24,15,18,11,23,16,4,5,5,14,26,58,11,23,12,13,5,27,13,8,1,2,17
2024,1104,Alabama,89,1155,Clemson,82,N,0,29,62,16,36,15,22,14,26,20,12,3,6,17,33,69,8,26,8,16,8,20,15,6,6,2,20
2024,1163,Connecticut,77,1228,Illinois,52,N,0,31,60,3,17,12,17,7,33,21,7,5,10,17,17,67,6,23,12,17,7,20,7,8,3,4,15
2024,1301,NC State,76,1181,Duke,64,N,0,28,60,3,13,17,23,8,27,16,4,4,6,16,19,59,5,20,21,26,10,27,11,9,4,5,23
2024,1345,Purdue,72,1397,Tennessee,66,N,0,24,53,3,15,21,33,8,32,16,10,5,2,12,24,62,11,26,7,11,6,17,17,6,8,4,25
2024,1163,Connecticut,86,1104,Alabama,72,N,0,31,62,10,25,14,18,10,25,20,4,4,8,17,26,58,11,23,9,11,7,21,9,7,2,5,15
2024,1345,Purdue,63,1301,NC State,50,N,0,22,55,10,25,9,10,10,28,13,14,5,2,8,21,57,5,19,3,4,6,22,10,11,8,3,13
2024,1163,Connecticut,75,1345,Purdue,60,N,0,30,62,6,22,9,11,13,19,18,6,3,4,18,24,54,1,7,11,15,8,19,8,9,3,3,15
